full_repository_name,name,user_type,created_at,pushed_at,updated_at,default_branch,description,open_issues,open_issues_count,visibility,watchers,watchers_count,is_disabled,is_archieved,languages_url,contributors_url,user name,state,contributions_count,language,language_count
chadxzs/bazel_mockery,bazel_mockery,User,2022-07-19T17:43:43Z,2021-11-04T09:46:32Z,2021-01-10T12:56:42Z,master,Bazel rules for using mockery,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/bazel_mockery/languages,https://api.github.com/repos/chadxzs/bazel_mockery/contributors,chadxzs,Alabama,1,Python,10303.0
chadxzs/bazel_mockery,bazel_mockery,User,2022-07-19T17:43:43Z,2021-11-04T09:46:32Z,2021-01-10T12:56:42Z,master,Bazel rules for using mockery,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/bazel_mockery/languages,https://api.github.com/repos/chadxzs/bazel_mockery/contributors,chadxzs,Alabama,1,Go,
chadxzs/bazel_mockery,bazel_mockery,User,2022-07-19T17:43:43Z,2021-11-04T09:46:32Z,2021-01-10T12:56:42Z,master,Bazel rules for using mockery,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/bazel_mockery/languages,https://api.github.com/repos/chadxzs/bazel_mockery/contributors,chadxzs,Alabama,1,Dockerfile,
chadxzs/bazel_mockery,bazel_mockery,User,2022-07-19T17:43:43Z,2021-11-04T09:46:32Z,2021-01-10T12:56:42Z,master,Bazel rules for using mockery,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/bazel_mockery/languages,https://api.github.com/repos/chadxzs/bazel_mockery/contributors,chadxzs,Alabama,1,Rust,
chadxzs/bazel_mockery,bazel_mockery,User,2022-07-19T17:43:43Z,2021-11-04T09:46:32Z,2021-01-10T12:56:42Z,master,Bazel rules for using mockery,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/bazel_mockery/languages,https://api.github.com/repos/chadxzs/bazel_mockery/contributors,chadxzs,Alabama,1,TLA,
chadxzs/bazel_mockery,bazel_mockery,User,2022-07-19T17:43:43Z,2021-11-04T09:46:32Z,2021-01-10T12:56:42Z,master,Bazel rules for using mockery,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/bazel_mockery/languages,https://api.github.com/repos/chadxzs/bazel_mockery/contributors,chadxzs,Alabama,1,TypeScript,
chadxzs/bazel_mockery,bazel_mockery,User,2022-07-19T17:43:43Z,2021-11-04T09:46:32Z,2021-01-10T12:56:42Z,master,Bazel rules for using mockery,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/bazel_mockery/languages,https://api.github.com/repos/chadxzs/bazel_mockery/contributors,chadxzs,Alabama,1,HTML,
chadxzs/bazel_mockery,bazel_mockery,User,2022-07-19T17:43:43Z,2021-11-04T09:46:32Z,2021-01-10T12:56:42Z,master,Bazel rules for using mockery,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/bazel_mockery/languages,https://api.github.com/repos/chadxzs/bazel_mockery/contributors,chadxzs,Alabama,1,Smarty,
chadxzs/bazel_mockery,bazel_mockery,User,2022-07-19T17:43:43Z,2021-11-04T09:46:32Z,2021-01-10T12:56:42Z,master,Bazel rules for using mockery,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/bazel_mockery/languages,https://api.github.com/repos/chadxzs/bazel_mockery/contributors,chadxzs,Alabama,1,Handlebars,
chadxzs/bazel_mockery,bazel_mockery,User,2022-07-19T17:43:43Z,2021-11-04T09:46:32Z,2021-01-10T12:56:42Z,master,Bazel rules for using mockery,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/bazel_mockery/languages,https://api.github.com/repos/chadxzs/bazel_mockery/contributors,chadxzs,Alabama,1,JavaScript,
